year,month,day,provstate,city,latitude,longitude,primary_attacktype,secondary_attacktype,tertiary_attacktype,primary_target,secondary_target,tertiary_target,target_nationality,primary_group,secondary_group,tertiary_group,nperps,nperpcap,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,nkill,nwound,nkillter,nwoundte
2013,11,6,Damascus,Damascus,33.510377,36.298184,Bombing/Explosion,NA,NA,Transportation,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,8,50,0,0
2013,11,6,Damascus,Damascus,33.513597,36.276598,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,11,9,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,6,6,0,0
2013,11,10,Damascus,Damascus,33.483075,36.350109,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,5,1,0,0
2013,11,13,Damascus,Damascus,33.51313,36.315059,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,10,0,0
2013,11,13,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,10,0,0
2013,11,13,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,4,0,0
2013,12,3,Unknown,Unknown,NA,NA,Hostage Taking (Kidnapping),NA,NA,Religious Figures/Institutions,NA,NA,Sweden,Al-Nusrah Front,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,11,18,Damascus,Damascus,33.512202,36.304611,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA,0,0
2013,11,20,Rif Dimashq,Nabak,34.024785,36.735271,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),Al-Nusrah Front,NA,1,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,5,3,1,0
2013,11,20,Rif Dimashq,Nabak,34.024785,36.735271,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),Al-Nusrah Front,NA,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,4,2,1,0
2013,11,20,Rif Dimashq,Deir Attiyeh,34.090554,36.765047,Bombing/Explosion,NA,NA,Business,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),Al-Nusrah Front,NA,2,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,2,1,2,NA
2013,11,20,Aleppo,Aleppo,36.215549,37.159279,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,NA,NA,0,0
2013,11,21,Daraa,Naseeb,32.552891,36.188965,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Jordan,Free Syrian Army,NA,NA,NA,0,Explosives/Bombs/Dynamite,Remote Trigger,NA,NA,NA,NA,0,5,0,0
2013,11,23,Tartus,Unknown,35.038992,36.007233,Assassination,NA,NA,Government (General),NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,1,0,0,0
2013,11,23,Rif Dimashq,Yabrud,33.966667,36.666667,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Sweden,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,0,0,0,0
2013,11,25,Aleppo,Aleppo,36.210762,37.158798,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,11,20,0,0
2013,11,26,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Transportation,NA,NA,Syria,Unknown,NA,NA,1,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,16,31,1,0
2013,11,26,Idlib,Unknown,35.832549,36.74704,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Turkey,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,11,27,Aleppo,Unknown,36.210163,37.14417,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,Melee,Unknown Weapon Type,NA,NA,NA,1,0,0
2013,11,28,Damascus,Damascus,33.514349,36.315737,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,Russia,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,5,0,0
2013,11,28,Damascus,Damascus,33.507908,36.302551,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,Russia,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,4,0,0
2013,11,28,Idlib,Unknown,35.737383,36.683591,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Melee,Unknown Weapon Type,NA,NA,NA,NA,0,1,0,0
2013,11,29,Damascus,Damascus,33.512202,36.304611,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,4,26,0,0
2013,12,1,Damascus,Damascus,33.503056,36.258333,Bombing/Explosion,NA,NA,Educational Institution,NA,NA,France,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,12,3,Rif Dimashq,Maaloula,33.844313,36.547073,Hostage Taking (Kidnapping),NA,NA,Religious Figures/Institutions,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,12,3,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Government (General),NA,NA,Syria,Al-Nusrah Front,NA,NA,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,5,17,1,0
2013,12,4,Idlib,Unknown,35.833402,36.696653,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Iraq,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,1,0,0,0
2013,12,4,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,4,6,0,0
2013,12,4,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,4,6,0,0
2013,12,4,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,3,6,0,0
