year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,nperps,nperpcap,weaptype1,weapsubtype1,nkill,nwound,nkillter,nwoundte
1980,4,5,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA
1980,4,28,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Unknown,NA,NA,Unknown,NA,1,0,NA,NA
1980,4,29,Aleppo,Aleppo,36.212989,37.142588,Hostage Taking (Kidnapping),Educational Institution,Syria,Muslim Brotherhood,NA,NA,Firearms,Handgun,1,0,NA,NA
1980,5,22,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Soviet Union,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1980,5,28,Aleppo,Aleppo,36.212989,37.142588,Unknown,Unknown,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,3,0,NA,NA
1980,6,0,Al Hasakah,Matafiyah,36.232222,40.971944,Assassination,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,1,0,NA,NA
1980,6,18,Aleppo,Aleppo,36.212989,37.142588,Assassination,Business,Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
1980,6,19,Homs,Homs,34.727926,36.711964,Assassination,Journalists & Media,Syria,Muslim Brotherhood,NA,NA,Firearms,Handgun,1,0,NA,NA
1980,6,22,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Military,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1980,6,25,Latakia,Latakia,35.516863,35.787049,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA
1980,6,25,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Government (General),Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,14,0,NA,NA
1980,6,26,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Unknown,1,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1980,7,0,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Transportation,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1980,7,1,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Military,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,4,0,NA,NA
1980,7,1,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Military,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,5,0,NA,NA
1980,7,5,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Transportation,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1980,7,21,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Business,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,11,17,NA,NA
