year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2014,8,9,Al Anbar,Barwana,34.095556,42.388611,Bombing/Explosion,Transportation,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,9,Baghdad,Baghdad,33.368082,44.363898,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Sticky Bomb,0,0,0,3,0,0
2014,8,9,Babil,Latifiyah,32.984826,44.356959,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,5,0,0
2014,8,9,Kirkuk,Kirkuk,35.470616,44.395746,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,0,0,0
2014,8,9,Saladin,Saba al-Bor,33.462707,44.157787,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,4,0,0
2014,8,9,Basra,Basra,30.501893,47.794591,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Grenade,0,0,0,15,0,0
2014,8,9,Saladin,Shirqat,35.492997,43.242478,Assassination,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,9,Al Anbar,Unknown,32.559761,41.919647,Armed Assault,Police,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,5,0,0
2014,8,9,Babil,Arab Jabur,32.724444,44.440278,Armed Assault,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,6,0,4,NA,0,NA
2014,8,3,Nineveh,Sinjar,36.32,41.86,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,500,0,0,NA,0,0
2014,8,11,Diyala,Jalawla,34.273644,45.165584,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,11,0,1,80,0,0
2014,8,11,Baghdad,Baghdad,33.251506,44.5078,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,7,0,0
2014,8,11,Al Anbar,Abu Ghraib,33.292175,44.06574,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",6,0,0,11,0,0
2014,8,11,Babil,Yusufiyah,33.078985,44.253025,Armed Assault,Military,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,3,0,0
2014,8,12,Baghdad,Baghdad,33.389978,44.460705,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,5,0,0
2014,8,12,Baghdad,Baghdad,33.251506,44.5078,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,4,0,0,12,0,0
2014,8,12,Baghdad,Baghdad,33.298749,44.4229,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,10,0,1,43,0,0
2014,8,12,Diyala,Balad Ruz,33.7,45.083333,Bombing/Explosion,Terrorists/Non-State Militia,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,1,0,0
2014,8,12,Al Anbar,Radhwaniyah,33.250559,44.268464,Bombing/Explosion,Military,Iraq,Mujahedeen Army,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,8,0,0
2014,8,12,Saladin,Dawr district,34.45725,43.799344,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,18,0,0
2014,8,12,Kirkuk,Hawijah district,35.316667,43.766667,Hostage Taking (Kidnapping),Religious Figures/Institutions,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,NA,0,0,NA,0,0
2014,8,12,Baghdad,Baghdad,33.332912,44.321253,Armed Assault,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2014,8,13,Baghdad,Baghdad,33.305081,44.488947,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,10,0,0,21,0,0
2014,8,13,Baghdad,Baghdad,33.330869,44.41238,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,0,5,0,0
2014,8,13,Baghdad,Baghdad,33.277992,44.328386,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,9,0,0
2014,8,13,Baghdad,Baghdad,33.268315,44.34494,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,2,0,0,8,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,13,Diyala,Jalawla,34.273885,45.16587,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,14,Baghdad,Baghdad,33.346641,44.401651,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,7,0,0
2014,8,14,Al Anbar,Khalidiyah,33.384167,43.524614,Assassination,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,3,0,0
2014,8,14,Saladin,Saba al-Bor,33.462707,44.157787,Bombing/Explosion,Private Citizens & Property,Iraq,Military Council of the Tribal Revolutionaries (MCTR),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,5,0,0
2014,8,15,Baghdad,Baghdad,33.368082,44.363898,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,9,0,0
2014,8,15,Saladin,Dhuluiya,34.059697,44.217092,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,1,0,0
2014,8,15,Diyala,Jalawla,34.273798,45.165636,Hostage Taking (Kidnapping),Religious Figures/Institutions,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,0,0,0
2014,8,15,Karbala,Karbala,32.567716,44.02047,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,15,Saladin,Samarra district,34.190675,43.887191,Unknown,Terrorists/Non-State Militia,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,0,0,0,6,0,0
2014,8,14,Diyala,Sayed Ahmad,34.307707,45.180621,Armed Assault,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Incendiary,Arson/Fire,5,0,0,0,0,0
2014,8,15,Nineveh,Kojo,36.177618,41.910328,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,80,0,0,NA,0,0
2014,8,15,Diyala,Sayed Ahmad,34.307707,45.180621,Unknown,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,6,0,0,0,0,0
2014,8,16,Baghdad,Baghdad,33.368082,44.363898,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,0,1,0,0
2014,8,16,Diyala,Abu Karmah,33.906667,44.724444,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,0,0,0
2014,8,16,Saladin,Samarra,34.192537,43.886423,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,10,0,0
2014,8,16,Diyala,Nahrawan,33.376823,44.702784,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,5,0,0
2014,8,16,Saladin,Mushahidah,33.63497,44.235291,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,8,0,0
2014,8,16,Diyala,Unknown,33.773349,45.14945,Hostage Taking (Kidnapping),Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,NA,0,0,NA,0,0
2014,8,16,Baghdad,Baghdad,33.31321,44.449247,Assassination,Police,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2014,8,17,Saladin,Samarra district,34.19246,43.886889,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,3,0,0
2014,8,17,Baghdad,Baghdad,33.243442,44.537459,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Sticky Bomb,2,0,0,3,0,0
2014,8,17,Baghdad,Baghdad,33.31321,44.449247,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,0,0,0
2014,8,17,Diyala,Jamahir,34.273704,45.165826,Assassination,Government (General),Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,1,0,0,0,0,0
2014,8,17,Diyala,Sadiyah,34.186327,45.126067,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,5,0,0
2014,8,17,Diyala,Kashkul,34.392696,45.003497,Unknown,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,3,0,3,NA,0,NA
2014,8,18,Diyala,Sadiyah,34.186327,45.126067,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,2,8,0,8
2014,8,18,Saladin,Albu Jawari,34.133781,44.221014,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,1,0,0,NA,0,0
2014,8,18,Saladin,Dujail,33.845904,44.236806,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Sticky Bomb,2,0,0,4,0,0
2014,8,19,Baghdad,Baghdad,33.222369,44.382964,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,9,0,0
2014,8,19,Kirkuk,Bajawan,35.536944,44.281944,Bombing/Explosion,Violent Political Party,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,19,Nineveh,Tilkef district,36.489444,43.119167,Bombing/Explosion,Unknown,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Other Explosive Type,0,0,0,0,0,0
2014,8,19,Nineveh,Babirah,36.543773,43.024066,Bombing/Explosion,Unknown,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Other Explosive Type,0,0,0,0,0,0
2014,8,19,Saladin,Saba al-Bor,33.462707,44.157787,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",3,0,0,9,0,0
2014,8,19,Saladin,Sulayman Beg,34.794167,44.666667,Bombing/Explosion,Government (General),Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,19,Saladin,Sulayman Beg,34.794167,44.666667,Bombing/Explosion,Government (General),Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,19,Kirkuk,Kirkuk,35.470616,44.395746,Assassination,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2014,8,19,Saladin,Tikrit,34.6,43.683333,Bombing/Explosion,Unknown,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Land Mine,0,0,0,0,0,0
2014,8,20,Saladin,Dhuluiya,34.059697,44.217092,Armed Assault,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,8,0,8,2,0,NA
2014,8,21,Baghdad,Baghdad,33.387489,44.411016,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,9,0,0,38,0,0
2014,8,20,Diyala,Al-Abbarah,33.814167,44.657778,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,1,0,0
2014,8,20,Diyala,Muqdadiyah district,33.979177,44.936535,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,3,0,0
2014,8,20,Saladin,Tarmiyah,33.664247,44.37365,Armed Assault,Military,Iraq,Unknown,Firearms,Automatic Weapon,3,0,0,4,0,0
2014,8,20,Al Anbar,Fallujah,33.350529,43.784096,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,11,0,0,8,0,0
2014,8,21,Babil,Rasheed,33.118162,44.367852,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,5,0,0
2014,8,21,Kirkuk,Kirkuk,35.416361,44.39553,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,2,0,0
2014,8,22,Saladin,Unknown,34.533753,43.483738,Bombing/Explosion,Terrorists/Non-State Militia,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,10,0,1,25,0,0
2014,8,22,Baghdad,Baghdad,33.213391,44.385041,Assassination,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,0,2,0,0
2014,8,22,Al Anbar,Al-Baghdadi,33.882046,42.533616,Bombing/Explosion,Police,Iraq,Military Council of the Tribal Revolutionaries (MCTR),Explosives/Bombs/Dynamite,Vehicle,3,0,1,6,0,0
2014,8,22,Baghdad,Baghdad,33.268315,44.34494,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,5,0,0
2014,8,22,Saladin,Baiji,34.929123,43.493002,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,22,Saladin,Baiji,34.929123,43.493002,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,22,Saladin,Baiji,34.929123,43.493002,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,22,Saladin,Baiji,34.929123,43.493002,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,22,Saladin,Baiji,34.929123,43.493002,Bombing/Explosion,Violent Political Party,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2014,8,22,Diyala,Himreen,34.101605,45.053653,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,5,0,0,12,0,0
2014,8,22,Al Anbar,Hit district,33.633509,42.816625,Armed Assault,Military,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,4,0,0
2014,8,22,Diyala,Imam Weis,33.650227,44.64407,Bombing/Explosion,Religious Figures/Institutions,Iraq,Asa'ib Ahl al-Haqq,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),35,0,1,35,0,0
2014,8,22,Nineveh,Mosul,36.34,43.13,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Other,NA,1,0,0,0,0,0
2014,8,22,Saladin,Dhuluiya,34.057456,44.218802,Armed Assault,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,4,0,4,11,0,11
2014,8,23,Arbil,Arbil,36.190394,44.008774,Bombing/Explosion,Educational Institution,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,0,0,0,4,0,0
2014,8,23,Babil,Iskandariyah,32.889581,44.347344,Bombing/Explosion,Unknown,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,0,0,0
2014,8,23,Baghdad,Baghdad,33.251389,44.391944,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,4,0,0
2014,8,23,Kirkuk,Kirkuk,35.434389,44.379748,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,1,20,0,0
2014,8,23,Kirkuk,Kirkuk,35.43439,44.379748,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,1,20,0,0
2014,8,23,Kirkuk,Kirkuk,35.414734,44.363718,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,1,20,0,0
2014,8,23,Kirkuk,Kirkuk,35.410872,44.325594,Hostage Taking (Kidnapping),Police,Iraq,Unknown,Firearms,Unknown Gun Type,NA,0,0,NA,0,0
2014,8,23,Saladin,Baiji,34.929167,43.493056,Bombing/Explosion,Business,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),30,0,30,NA,0,NA
2014,8,23,Baghdad,Baghdad,33.295433,44.42526,Bombing/Explosion,Government (General),Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,9,0,1,24,0,0
2014,8,24,Baghdad,Baghdad,33.370243,44.278691,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,3,0,0,15,0,0
2014,8,24,Saladin,Taji,33.509136,44.234186,Bombing/Explosion,Military,Iraq,Military Council of the Tribal Revolutionaries (MCTR),Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,5,0,0
2014,8,24,Baghdad,Baghdad,33.387463,44.41108,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,4,0,0
2014,8,24,Saladin,Ishaqi,34.045422,43.988959,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,2,0,0
2014,8,24,Al Anbar,Abu Ghraib district,33.291251,44.065372000000004,Armed Assault,Terrorists/Non-State Militia,Iraq,Al-Naqshabandiya Army,Firearms,Automatic Weapon,4,0,0,7,0,0
2014,8,24,Al Anbar,Fallujah,33.326806,43.782473,Armed Assault,Military,Iraq,Unknown,Firearms,Automatic Weapon,3,0,0,5,0,0
2014,8,25,Kirkuk,Kirkuk,35.422621,44.401651,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Automatic Weapon,1,0,0,5,0,0
2014,8,25,Baghdad,Baghdad,33.305081,44.488947,Bombing/Explosion,Religious Figures/Institutions,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),9,0,1,25,0,0
2014,8,25,Baghdad,Baghdad,33.326921,44.301588,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,6,0,0,11,0,0
2014,8,25,Baghdad,Baghdad,33.326921,44.301588,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,5,0,0,10,0,0
2014,8,25,Baghdad,Baghdad,33.251389,44.391944,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,11,0,0
2014,8,25,Baghdad,Baghdad,33.412399,44.433307,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,10,0,0
2014,8,25,Karbala,Karbala,32.606406,44.025392,Bombing/Explosion,Government (General),Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Unknown Explosive Type,6,0,0,16,0,0
2014,8,25,Karbala,Karbala,32.606406,44.025392,Bombing/Explosion,Other,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,0,15,0,0
2014,8,25,Babil,Hillah,32.483333,44.433333,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,6,0,0,13,0,0
2014,8,25,Babil,Hillah,32.483333,44.433333,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,5,0,0,13,0,0
2014,8,26,Baghdad,Baghdad,33.305081,44.488947,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,Vehicle,8,0,0,31,0,0
2014,8,26,Baghdad,Baghdad,33.345876,44.401828,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,6,0,0
2014,8,26,Saladin,Mushahidah,33.63497,44.235291,Bombing/Explosion,Military,Iraq,Military Council of the Tribal Revolutionaries (MCTR),Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,4,0,0
2014,8,26,Al Anbar,Hit,33.64275,42.814981,Assassination,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,1,0,0,0,0,0
2014,8,26,Saladin,Awjah,34.527778,43.705129,Unknown,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,NA,NA,0,NA,NA,0,NA
2014,8,27,Baghdad,Baghdad,33.341925,44.276394,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,7,0,0
2014,8,27,Baghdad,Baghdad,33.243095,44.506716,Bombing/Explosion,Terrorists/Non-State Militia,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,2,0,0
2014,8,27,Kirkuk,Kirkuk,35.458417,44.383936,Assassination,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,3,0,0,0,0,0
2014,8,28,Baghdad,Baghdad,33.230466,44.30249,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,3,0,0
