year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2007,6,2,Kirkuk,Taza Khurmatu,35.29915,44.327279,Bombing/Explosion,Transportation,Iraq,Al-Qaida in Iraq,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2007,6,2,Baghdad,Baghdad,33.350663,44.3843,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",7,0,0,25,0,0
2007,6,2,Baghdad,Baghdad,33.3,44.4,Assassination,Religious Figures/Institutions,Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,2,Kirkuk,Kirkuk,35.46883,44.39098,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,5,0,0
2007,6,2,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Al-Qaida in Iraq,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,2,Al Anbar,Fallujah,33.35004,43.783488,Armed Assault,Terrorists/Non-State Militia,Iraq,Anbar Salvation Council,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,2,Diyala,Muqdadiyah,33.971506,44.92687,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,1,0,0,4,0,0
2007,6,3,Kirkuk,Hawijah,35.324817,43.766813,Bombing/Explosion,Police,Iraq,Ansar al-Islam,Explosives/Bombs/Dynamite,Grenade,0,0,0,1,0,0
2007,6,3,Baghdad,Baghdad,33.28131,44.326021,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,0,0,0
2007,6,3,Baghdad,Baghdad,33.251563,44.391939,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,5,0,0
2007,6,3,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Religious Figures/Institutions,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,1,0,0
2007,6,3,Baghdad,Baghdad,33.286649,44.354396,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,0,0,0
2007,6,3,Nineveh,Mosul,36.34,43.13,Assassination,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,1,0,0,0,0,0
2007,6,3,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",4,0,4,0,0,0
2007,6,3,Diyala,Balad Ruz,33.7,45.083333,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq (ISI),Explosives/Bombs/Dynamite,Vehicle,10,0,0,30,0,0
2007,6,3,Diyala,Baqubah,33.75,44.633333,Armed Assault,Transportation,Iraq,Unknown,Firearms,Unknown Gun Type,5,0,0,7,0,0
2007,6,3,Diyala,Baqubah,33.75,44.633333,Bombing/Explosion,Military,Iraq,Unknown,Chemical,Explosive,1,0,1,0,0,0
2007,6,3,Nineveh,Mosul,36.34,43.13,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,4,0,0,0,0,0
